prefecture,year,month,positive,death,population,gdo,gdp,mobility,credit_all,credit_service,pos,travel,eventticket,restaurant_info,joboffer,event_info,travel_info,movie_info
Aichi,2020,1,2,0,7537000,102.04228,100.0000049,,1,0,12.083333,1,-45.3933381,-0.834493075,2.5,-14.0322466,-0.494438023,1.196148038
Aichi,2020,2,27,0,7537000,100.61578,98.75271582,-1.5,-4,-5,9.4814816,1,-66.45023945,-4.906899311,10.518518,-13.09135261,-3.356645148,-5.491297659
Aichi,2020,3,149,19,7537000,94.948181,94.97481338,-5.75,-7.5,-9,7.25,-81,-87.5071408,-22.81122737,0.5,-13.22647054,-12.42444002,-15.47691205
Aichi,2020,4,309,14,7537000,87.189751,82.8759623,-20.625,-16.5,-25,8.666667,-97,-99.6751372,-62.83226903,-17.4,-64.31063966,-47.46454155,-27.5735423
Aichi,2020,5,24,1,7537000,82.514038,77.56335613,-20.25,-12.5,-20.5,7.5,-98,-99.9512478,-52.18157851,-31,-77.93049629,-52.13233639,-25.159971
Aichi,2020,6,17,0,7537000,88.352226,84.71979417,-10.75,-7,-10.5,5.5,-86,-99.4395712,-26.83961405,-32.5,-67.51580033,-33.41066951,-41.62084125
Aichi,2020,7,1307,1,7537000,91.014435,88.96194344,-12.25,-3,-4.5,7.483871,-75,-96.9092185,-21.17040734,-31.225807,-60.82043079,-23.43258089,-52.13969974
Aichi,2020,8,2764,30,7537000,93.449471,90.56924742,-15.25,-6.5,-12,1.5,-59,-94.9919643,-32.7575236,-30.25,-65.25839753,-36.83637625,-42.86673925
Aichi,2020,9,830,21,7537000,95.083427,93.73535403,-10.625,-6,-6.5,-4.2592592,-155,-94.3312574,-22.63825726,-33.703705,-53.20692636,-19.26390823,-16.26670593
Aichi,2020,10,864,10,7537000,97.099701,96.05558249,-7,2,-0.5,8.0645161,67,-81.5505229,-19.79619735,-30.709677,-66.07917522,31.50562996,7.144235145
Aichi,2020,11,3832,23,7537000,96.448311,95.57477828,-8.125,-3.5,-7,1,81,-54.0781493,-28.66521289,-26.5,-23.80938643,19.68390257,9.2815257
Aichi,2020,12,6449,95,7537000,95.879707,94.55146755,-12.5,-6.5,-12.5,4.7741938,-6,-75.9018452,-41.12532899,-29.580645,-14.88757062,-3.732742927,-12.4284025
Aichi,2021,1,7475,186,7537000,,95.25569271,-21,-9,-15.5,11.5,-74,-73.502144,-44.15380856,-12.5,-12.0749315,-39.70991043,-10.9978524
Aichi,2021,2,1841,118,7537000,,93.72330061,-18.125,-12,-17,5.25,-76,-64,-46.42003039,-13.5,-51.8118517,-51.00367334,-5.48253765
Aichi,2021,3,1505,65,7537000,,,-11.5,,,3.5,,,-37.63636266,-19.25,-14.98363178,-27.56794043,26.32399895
Aichi,2021,4,2833,29,7537000,,,-9.5,,,13,,,-38,,,,
Akita,2020,1,0,0,981000,102.04228,100.0000005,,-2.5,-1,4.5833335,-5,-57.260274,10.14204267,-4.75,-8.602894876,10.68540806,4.337961291
Akita,2020,2,0,0,981000,100.69481,99.86493554,1,1.5,-1,-1.5555556,-9,24.2105263,-0.437044643,-6.8518519,3.92815167,1.555487633,-0.531770795
Akita,2020,3,6,0,981000,96.524422,95.39107736,-3.25,-1,-1.5,-2.25,-59,-99.6328029,-17.15135204,-3.5,3.011350343,-17.00451743,-10.34581278
Akita,2020,4,10,0,981000,91.02626,88.2271959,-7.875,-1,2.5,2.7333333,-96,-100,-57.85273769,-8.1333332,-60.61583238,-45.05929793,-21.88855142
Akita,2020,5,0,0,981000,88.788536,85.40701096,1.25,-1,-0.5,1.75,-98,-99.765808,-42.06804801,-18.5,-72.77119058,-44.87984545,-17.02917735
Akita,2020,6,0,0,981000,93.225983,92.01042105,9.875,-1.5,3.5,2.75,-84,-100,-20.26968774,-17.75,-56.82897425,29.23091527,-36.08230484
Akita,2020,7,2,0,981000,93.392334,92.59458166,9.25,6,0.5,1.032258,-53,-100,-2.859159148,-16.483871,-61.72199258,23.36200175,-44.96815871
Akita,2020,8,31,0,981000,94.119011,93.52627805,15.5,1.5,-2.5,-2.75,-57,-99.6632997,-27.52482417,-2.75,-70.59252663,-7.461180233,-35.84652637
Akita,2020,9,4,0,981000,95.667717,95.52527414,15.875,-1.5,2.5,-4.5925927,0,-100,-1.617545508,-8.9629631,-65.34602068,-2.404581055,-5.332005645
Akita,2020,10,10,0,981000,96.721413,96.60827741,19.5,3,1.5,11.16129,29,-96.3695038,0.675333287,-8.5161295,-60.39367822,42.80323941,22.77086255
Akita,2020,11,27,1,981000,96.755936,96.38719321,9.875,2.5,1,2.5,148,-93.8256659,-0.268934107,3.5,-20.85436699,32.5255858,23.74945547
Akita,2020,12,50,0,981000,96.567947,95.7933665,-3,-5.5,-4.5,5.483871,132,-86.4238411,-25.84913827,-0.74193549,-13.90844216,5.772391092,-12.94430485
Akita,2021,1,121,0,981000,,95.92791701,-14.75,-3.5,-1.5,4.25,-24,-99.0410959,-37.72315552,3,-24.4559403,-17.28732161,-22.31693716
