prefecture,year,month,positive,death,population,qe,FujiiKasaigdo,Fujiigdo,FujiiKasaigdp,Fujiigdp,rdei,qFujiigdp,qFujiigdponly,qFujiiKasaigdponly,qrdei,qrdeionly,mobility,creditall,creditservice,pos,travel,eventticket,restaurantinfo,joboffer,eventinfo,travelinfo,movieinfo,departsuper,conveni,kaden,drugstore,Kasaiiip,hhexp,TDBall,TDBagri,TDBkinyuu,TDBkensetsu,TDBfudosan,TDBseizou,TDBoroshi,TDBkouri,TDBunyu,TDBservice,TDBother,TDBdaikigyo,TDBchusho,koujihi,newtruck,newcar,yuirail,airport,hotel,fish,elec,ship,kankou3,kankou2,kankou1,car2,car1,deposit,loan,machine2,machine1,ex2,ex1,wage2,wage1,employ,cpi,di,ci,fusai2,fusai1,tosan2,tosan1,ryoko,setsubi,infra2,infra1,newcar3,newcar2,newcar1
Aichi,2020,12,6449,95,7537000,99.25709645,96.15873,96.153366,95.311989,95.6642858,90.705826,98.711571,98.441177,98.078651,93.595161,93.852966,-12.5,-6.5,-12.5,4.774193548,-6,-75.9018452,-41.12532899,-29.58064516,-14.88757062,-3.732742927,-12.4284025,-2.3,-5.2,15.1,9.1,99,315007,37.4,,,54.8,33.3,33.8,36.4,33.3,8.3,33.3,,33.3,37.9,-16.0696802,1542,6431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.8,,,
Aichi,2021,1,7475,186,7537000,97.91108917,94.5895,94.57489,95.416855,95.27698078,88.74807,97.930252,96.929443,97.071739,91.219528,92.171196,-21,-9,-15.5,11.5,-74,-73.502144,-44.15380856,-12.5,-12.0749315,-39.70991043,-10.9978524,-5.6,-4.7,12.9,9.3,100.3,267760,35.6,,,47.6,33.3,30.6,39.6,41.7,16.7,33.3,,41.7,34.9,-12.83778894,1747,8593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.9,,,
Aichi,2021,2,1840,118,7537000,97.91108917,94.545105,94.757118,93.984383,94.28555137,90.094093,96.911217,95.920815,95.614426,92.603035,93.569138,-18.125,-12,-17,5.25,-76,-64,-46.42003039,-13.5,-51.8118517,-51.00367334,-5.48253765,-5,-7.5,1.4,-4.6,97.5,252451,38.8,,,50,33.3,35.8,42.6,36.7,27.8,40,,39.6,38.7,14.08752853,1846,8979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.5,,,
Aichi,2021,3,1505,65,7537000,97.91108917,95.372032,95.780762,96.177444,96.8604007,89.511047,99.55777,98.540321,97.84552,92.003754,92.9636,-11.5,-7.062,-10.304,3.5,-54,-69,-37.63636266,-19.25,-14.98363178,-27.56794043,26.32399895,5.7,0.6,8.6,-1.5,100,309800,35.4,,,42.4,33.3,36.9,35,22.2,16.7,31.3,,39.6,34.9,-13.43664652,2376,11385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,,,
Aichi,2021,4,6082,46,7537000,,,,98.347633,97.53207907,,,,,,,-9.75,-5.565,-9.7,6.790557,-69,-65,-42.01799574,-19.7,,,,18.8,5.1,7.1,-3.4,105.4,301043,35.3,,,43.1,50,32.4,42.9,45.2,4.2,27.1,,40.5,34.9,-14.2538581,1620,6536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,2021,5,13813,162,7537000,,,,,92.10566603,,,,,,,-15.25,-7.5,-14,6.6923825,-69,-82,-56.91458774,-17.564155,,,,,,,,,281063,34.8,,,45.6,33.3,33.8,30.3,41.7,8.3,27.1,,38.1,34.5,-28.4,1397,6115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,2021,6,3804,171,7537000,,,,,,,,,,,,-12.625,,,3.922908889,,,-55.01186513,-18.16104147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,2021,7,1726,41,7537000,,,,,,,,,,,,-12.5,,,8,,,-52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita,2020,1,0,0,981000,99.99999542,102.05634,102.02887,100,100.0000007,100,102.02887,101.58937,101.58937,102.02887,102.47218,,-2.5,-1,4.583333333,-5,-57.260274,10.14204267,-4.75,-8.602894876,10.68540806,4.337961291,-3.1,-1.8,4.9,9.1,104.5,287173,,,,,,,,,,,,,,-13.00705092,392,1041,,,,,,,,,,,,,,,,,,,,,,55.6,79.7,,,,,,,,,,,
Akita,2020,2,0,0,981000,99.99999542,101.68034,100.96118,101.06219,99.7061373,98.200958,101.72904,101.29084,102.66844,100.19333,100.62867,1,1.5,-1,-1.555555556,-9,24.2105263,-0.437044643,-6.851851852,3.92815167,1.555487633,-0.531770795,2.1,1.2,7.4,20.4,108.9,271735,35.7,33.3,50,37.8,38.9,36.9,34.1,28.6,58,34.7,16.7,39.7,34.9,28.29527689,514,1343,,,,,,,,,,,,,,,,,,,,,,66.7,84.5,,,,,,,,,,,
Akita,2020,3,6,0,981000,99.99999542,97.404488,96.496117,97.146179,95.41695079,93.737572,97.352837,96.933479,98.690193,95.639389,96.054939,-3.25,-1,-1.5,-2.25,-59,-99.6328029,-17.15135204,-3.5,3.011350343,-17.00451743,-10.34581278,-3.1,-7.3,-0.8,19.5,106.2,292214,31.5,37.5,50,34.3,30,28.9,30.2,27.8,,35,16.7,32.1,31.5,-30.23260798,775,2069,,,,,,,,,,,,,,,,,,,,,,66.7,75.3,,,,,,,,,,,
Akita,2020,4,10,0,981000,91.70163915,92.075104,91.448311,89.92453,88.31389931,89.932373,90.617958,92.102257,93.781975,92.278656,90.815086,-7.875,-1,2.5,2.733333333,-96,-100,-57.85273769,-8.133333333,-60.61583238,-45.05929793,-21.88855142,-3.9,-12,4.3,15.9,99.7,267922,26.3,16.7,33.3,31.1,23.3,27,24.4,27.1,,25.6,16.7,21.4,27.1,-26.17328242,432,734,,,,,,,,,,,,,,,,,,,,,,44.4,66,,,,,,,,,,,
Akita,2020,5,0,0,981000,91.70163915,89.710983,89.314484,86.701782,85.55002328,88.537102,87.781975,89.219818,90.420982,90.846985,89.40612,1.25,-1,-0.5,1.75,-98,-99.765808,-42.06804801,-18.5,-72.77119058,-44.87984545,-17.02917735,2.3,-10.1,24.3,7.6,92.5,252017,27.3,22.2,50,34.4,19.4,29.4,23.6,30.6,66.7,22.6,16.7,29.2,27,-74.68988431,344,513,,,,,,,,,,,,,,,,,,,,,,22.2,53.7,,,,,,,,,,,
