prefecture,year,month,positive,death,population,FujiiKasaigdo,Fujiigdo,FujiiKasaigdp,Fujiigdp,rdei,mobility,creditall,creditservice,pos,travel,eventticket,restaurantinfo,joboffer,eventinfo,travelinfo,movieinfo,departsuper,conveni,kaden,drugstore,Kasaiiip,TDBall,TDBagri,TDBkinyuu,TDBkensetsu,TDBfudosan,TDBseizou,TDBoroshi,TDBkouri,TDBunyu,TDBservice,TDBother,TDBdaikigyo,TDBchusho,koujihi,newtruck,newcar,yuirail,airport,hotel,fish,elec,ship,kankou3,kankou2,kankou1,car2,car1,deposit,loan,machine2,machine1,ex2,ex1,wage2,wage1,employ,cpi,di,ci,fusai2,fusai1,tosan2,tosan1,ryoko,setsubi,infra2,infra1,newcar3,newcar2,newcar1
Aichi,2021,1,7475,186,7537000,,,95.428246,95.255692713291,,-21,-9,-15.5,11.5,-74,-73.502144,-44.15380855599884,-12.5,-12.07493150258785,-39.70991042679133,-10.9978524,-5.6,-4.7,12.9,9.300000000000001,100.3,34.9,,50,38.8,31.7,35.3,32.8,28.8,34.3,37,50,36.6,34.4,-12.83778894318515,1747,8593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.90000000000001,,,
Aichi,2021,2,1841,118,7537000,,,94.190979,93.72330060852904,,-18.125,-12,-17,5.25,-76,-64,-46.42003038940106,-13.5,-51.81185169778733,-51.00367333704117,-5.48253765,-5,-7.5,1.4,-4.6,97.5,37.1,,44.4,41.9,40,37.7,34.7,29.7,40.1,36.5,16.7,40.4,36.3,14.08752852781087,1846,8979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.5,,,
Aichi,2021,3,1505,65,7537000,,,,,,-11.5,-7,-10,3.5,,-69,-37.63636266360133,-19.25,-14.9836317819963,-27.56794042583327,26.323998945,,,,,,39.5,,41.7,40,41.7,42,37.1,36.1,40.5,39.1,50,43.5,38.5,-13.43664651987287,2376,11385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,,,
Aichi,2021,4,6082,46,7537000,,,,,,-9.75,,,7.6799998,,,-41.64,-18.333334,,,,,,,,,40.4,,50,42.2,43.5,42.7,36.7,33.3,44.9,40.6,50,43.8,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,2021,5,3275,24,7537000,,,,,,-21.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita,2020,1,0,0,981000,102.05053,102.04228,100,100.0000004717201,100,,-2.5,-1,4.5833335,-5,-57.260274,10.1420426693995,-4.75,-8.602894876288028,10.68540806095878,4.33796129067091,-3.1,-1.8,4.9,9.1,104.5,,,,,,,,,,,,,,-13.00705091723266,392,1041,,,,,,,,,,,,,,,,,,,,,,55.6,79.7,,,,,,,,,,,
Akita,2020,2,0,0,981000,101.31385,100.69481,101.06219,99.86493553818416,97.494057,1,1.5,-1,-1.5555556,-9,24.2105263,-.4370446429654771,-6.8518519,3.928151669988136,1.555487633013975,-.5317707946130447,2.1,1.2,7.4,20.4,108.9,35.7,33.3,50,37.8,38.9,36.9,34.1,28.6,58,34.7,16.7,39.7,34.9,28.29527689340773,514,1343,,,,,,,,,,,,,,,,,,,,,,66.7,84.5,,,,,,,,,,,
Akita,2020,3,6,0,981000,97.427765,96.524422,97.146179,95.39107735722715,93.794075,-3.25,-1,-1.5,-2.25,-59,-99.6328029,-17.15135203788164,-3.5,3.011350342853786,-17.00451743444968,-10.34581278007564,-3.1,-7.3,-.8,19.5,106.2,31.5,37.5,50,34.3,30,28.9,30.2,27.8,,35,16.7,32.1,31.5,-30.23260797934041,775,2069,,,,,,,,,,,,,,,,,,,,,,66.7,75.3,,,,,,,,,,,
Akita,2020,4,10,0,981000,91.648575,91.02626,89.92453,88.22719590424671,88.910034,-7.875,-1,2.5,2.7333333,-96,-100,-57.85273768584804,-8.1333332,-60.61583238303272,-45.0592979268995,-21.88855142088734,-3.9,-12,4.3,15.9,99.7,26.3,16.7,33.3,31.1,23.3,27,24.4,27.1,,25.6,16.7,21.4,27.1,-26.17328242143405,432,734,,,,,,,,,,,,,,,,,,,,,,44.4,66,,,,,,,,,,,
Akita,2020,5,0,0,981000,89.210632,88.788536,86.701782,85.40701095948363,87.37561,1.25,-1,-.5,1.75,-98,-99.76580800000001,-42.06804800817589,-18.5,-72.77119058422828,-44.87984545196599,-17.02917735400825,2.3,-10.1,24.3,7.6,92.5,27.3,22.2,50,34.4,19.4,29.4,23.6,30.6,66.7,22.6,16.7,29.2,27,-74.6898843069665,344,513,,,,,,,,,,,,,,,,,,,,,,22.2,53.7,,,,,,,,,,,
