prefecture,year,month,positive,death,population,FujiiKasaigdo,Fujiigdo,FujiiKasaigdp,Fujiigdp,rdei,mobility,creditall,creditservice,pos,travel,eventticket,restaurantinfo,joboffer,eventinfo,travelinfo,movieinfo,departsuper,conveni,kaden,drugstore,Kasaiiip,TDBall,TDBagri,TDBkinyuu,TDBkensetsu,TDBfudosan,TDBseizou,TDBoroshi,TDBkouri,TDBunyu,TDBservice,TDBother,TDBdaikigyo,TDBchusho,koujihi,newtruck,newcar,yuirail,airport,hotel,fish,elec,ship,kankou3,kankou2,kankou1,car2,car1,deposit,loan,machine2,machine1,ex2,ex1,wage2,wage1,employ,cpi,di,ci,fusai2,fusai1,tosan2,tosan1,ryoko,setsubi,infra2,infra1,newcar3,newcar2,newcar1
Hyogo,2020,9,442,6,5484000,95.281799,96.053352,92.106567,94.14980240164671,91.913246,-9.875,-5.5,-7.5,-4.1111112,32,-68.4099418,-13.09333738844055,-26.962963,-55.57498246037791,-6.057410927558795,-13.88483437516251,-12.4,-2.4,-26.6,-11.4,90.40000000000001,30.5,,,38.7,26.7,26.6,31.4,30,25,32.1,50,35.6,29.4,-27.66059454660505,1330,5160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyogo,2020,10,533,4,5484000,96.01815,97.201385,93.826477,96.27234429702735,91.972504,-6.5,.5,-1,7.4516129,79,-61.8034284,-7.764964199476416,-26.612904,-64.60150097587206,41.48760096486682,8.435389572504265,4.1,-5.4,25.5,13.6,93.09999999999999,33.8,,,40.6,34.5,31.5,33.6,26.7,31.9,32.9,50,39.4,32.5,-20.13106629547556,1278,4451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyogo,2020,11,2372,18,5484000,96.801216,97.422829,94.834984,96.1944487430172,92.479263,-6.25,-1.5,-5.5,2.25,82,-72.89431690000001,-15.53555057535028,-17.75,-30.04511128024345,24.96350609153068,4.684101091213006,-2.7,-4.9,20.8,6.8,96.59999999999999,36.5,50,,43.8,32.1,37.3,34.4,24.4,33.3,34.8,66.7,39,36,42.9038175442908,1458,4655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyogo,2020,12,4378,130,5484000,96.967949,96.731911,95.541039,95.23979653958546,92.095833,-12.25,-5,-11,3.7096775,26,-66.22796,-35.67524220140711,-22,-19.23326731315381,-1.783032853803635,-14.83021034272396,-3.5,-4.4,12.7,6.6,100.3,34.3,33.3,,41,33.3,34.5,34,27.5,21.4,32.6,50,37.5,33.7,-13.49218628340343,1274,4074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyogo,2021,1,6466,191,5484000,,,93.299034,95.57664652327045,,-21,-11,-14,6.25,-68,-64.2843048,-38.2103267864103,-9,-9.368717542038741,-36.61828489124805,-11.09202373550125,-4.2,-4.1,15.5,4.1,96.59999999999999,34,25,,40.7,35.1,33.2,33.5,31.7,26.2,31.3,50,37.6,33.4,-20.03310395482168,1179,4437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyogo,2021,2,1502,128,5484000,,,92.905304,95.12696121746662,,-17.75,-12,-18,4,-73,-55,-37.21918176142447,-16.5,-53.90592882285246,-48.32657568766193,-7.030652160244792,-4.4,-5.8,4.5,-8.800000000000001,94.90000000000001,36.5,50,,40.1,34.7,36.1,35.9,32.5,31,36.9,50,40.2,35.9,46.66097587634084,1250,5268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyogo,2021,3,2090,61,5484000,,,,,,-9.75,-8,-11.5,1.25,,-53,-30.69539467842845,-18.25,-17.9783670316116,-23.83063243460455,20.7789780304959,,,,,,38.7,50,,40.9,40.7,39.8,38,35.7,31.3,37.6,50,43.7,37.9,8.286832051626106,1590,6506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyogo,2021,4,11443,86,5484000,,,,,,-12.125,,,4.4400001,,,-45.64,-17.388889,,,,,,,,,38.4,50,,38.4,37.3,40.6,38,27.5,37.5,37.9,50,41.5,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyogo,2021,5,3783,101,5484000,,,,,,-31.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibaraki,2020,1,0,0,2877000,102.05053,102.04228,100,99.99999954790404,100,,-3.5,-2.5,5.5,29,-79.21527039999999,3.153234690257552,6.9166665,-8.014738896732727,5.131867290034773,6.281844964324052,-1.9,.9,2.2,5.1,97.8,,,,,,,,,,,,,,-3.865155338929682,784,2923,,,,,,,,,,,,,,,,,,,,,,,99.5,,,13,,,,,,,,
Ibaraki,2020,2,0,0,2877000,101.57044,101.34431,100.06652,99.639414728408,98.992592,-.5,0,1.5,9.7037039,30,37.0750481,1.169577086269187,5.2592592,-3.160626114317251,2.724927969163488,-4.628695093198757,4.7,4.3,14.1,18.5,98.59999999999999,39.8,27.8,50,46.8,33.3,33.7,37.5,50,30,52,,44.2,39.1,-31.23101101388524,741,3381,,,,,,,,,,,,,,,,,,,,,,,100.2,,,10,,,,,,,,
Ibaraki,2020,3,24,0,2877000,98.639282,98.574242,96.025391,95.9135396249376,97.2892,-3,-5.5,-8.5,5.5,-54,-94.08410550000001,-15.75788101652918,2.25,-8.044054664965643,-15.45625851549951,-12.44368826707117,2,-4.1,-.9,13.2,94.3,35.7,33.3,16.7,40.5,25,35,32.5,44.4,27.8,39.5,,38.9,35.2,-3.719325983424042,1020,4044,,,,,,,,,,,,,,,,,,,,,,,98.59999999999999,,,16,,,,,,,,
Ibaraki,2020,4,139,7,2877000,93.254501,92.523178,90.772667,88.85467998109998,91.195549,-19.625,-14,-22,15.1,-95,-100,-59.01642258039222,-11.033334,-59.82890265180104,-47.74695144154075,-22.65597405441597,4.9,-7.4,6.4,16.3,91.59999999999999,29.4,16.7,16.7,32.8,16.7,28.9,31.5,31,16.7,33.3,,34.2,28.8,35.59802090053194,635,1973,,,,,,,,,,,,,,,,,,,,,,,92,,,9,,,,,,,7328,
Ibaraki,2020,5,5,3,2877000,88.907814,88.712486,85.862175,85.01031051894911,87.624321,-21,-11,-18,12,-96,-99.0353698,-40.8908477479672,-27.75,-77.40080781443143,-51.02757091083747,-15.93704450025754,9,-5.9,22.8,9.1,82.5,31.2,33.3,33.3,33.8,25,29.4,31.6,50,20.2,31.9,,36.2,30.5,-25.70601349759231,512,1213,,,,,,,,,,,,,,,,,,,,,,,83.90000000000001,,,1,,,,,,,5608,
Ibaraki,2020,6,6,0,2877000,93.71109,93.842415,90.786369,90.54467545129469,92.0728,-10,-3,-7,8.25,-74,-100,-16.51711865945302,-28.5,-63.12958960339529,-30.80692874706334,-32.76131044586172,8.300000000000001,-.5,39.4,14.8,83.40000000000001,30.8,29.2,33.3,36.8,22.2,29.6,31.4,38.9,18.9,31,,32.5,30.6,-31.01446254049306,918,2467,,,,,,,,,,,,,,,,,,,,,,,84.8,,,12,,,,,,,8890,
Ibaraki,2020,7,120,0,2877000,94.24897,94.984802,90.215225,92.18331443148828,91.809868,-11.25,-4,-6,3.7741935,-59,-100,-7.697277469965327,-25.67742,-56.86234962904199,-13.49733202422239,-47.16420154729745,8.6,-5.8,6.1,9.9,82.7,31.8,25,33.3,36.8,27.8,31,32.4,38.9,23.8,31.2,,34.2,31.5,-.6926612668063257,823,3165,,,,,,,,,,,,,,,,,,,,,,,85,,,14,,,,,,,10126,
Ibaraki,2020,8,251,3,2877000,96.935181,96.66642,92.565849,92.60345933653711,94.647156,-10,-6,-9,6.25,-32,-100,-20.76677078041639,-20.75,-67.7407925061845,-28.31633645472257,-35.1657477147151,10.7,-3.9,7.1,11.2,87.3,32.2,22.2,33.3,38,33.3,30.2,31.5,40.5,26.4,31.8,,39.2,31.3,-.1477825969457314,683,2614,,,,,,,,,,,,,,,,,,,,,,,90,,,9,,,,,,,8161,
Ibaraki,2020,9,112,4,2877000,97.814011,98.089096,93.300537,94.39665482296839,95.609787,-9.25,-7,-7,-4.7777777,56,-97.2765957,-4.808709443313428,-23.925926,-58.12012717849562,-14.91059251967458,-.8702704201562779,.9,-1.5,-31.3,1,87.09999999999999,34.5,38.9,33.3,41.4,33.3,30.2,34.3,42.9,26.9,36.2,,39.5,33.9,.0451270702928213,912,3354,,,,,,,,,,,,,,,,,,,,,,,91.40000000000001,,,9,,,,,,,12084,
Ibaraki,2020,10,111,1,2877000,99.984978,100.23694,95.960396,96.60909248387148,97.514557,-6,1,0,7.7419353,138,-87.83898309999999,3.957778409948967,-22.935484,-69.46813259794459,29.46653870589351,18.47105018606837,11.7,-4.2,32.7,3.7,91.59999999999999,35.7,50,33.3,40,33.3,33.3,33.8,44.4,28.2,38.3,,38,35.4,-8.076234246142249,900,3017,,,,,,,,,,,,,,,,,,,,,,,96.09999999999999,,,11,,,,,,,10803,
Ibaraki,2020,11,793,3,2877000,99.935173,100.57027,95.057487,96.44811590712165,98.321075,-5.75,-4,-9,4.25,183,68.0818802,-9.105036829222691,-14.5,-28.42732446381428,19.88379489655378,14.19197816317744,7.6,-2,13.9,12.9,90,38.1,55.6,41.7,44.2,50,34.3,34.3,40,32.1,45,,40.7,37.7,-8.782798819244505,984,2984,,,,,,,,,,,,,,,,,,,,,,,96.8,,,6,,,,,,,10705,
Ibaraki,2020,12,885,15,2877000,99.215477,99.504616,94.452393,95.17184933361037,97.533539,-11.75,-6.5,-11,6.032258,58,-96.0895522,-25.47689237779886,-17.225807,-13.26361021632511,-4.482196668344001,-10.53502556170437,4.1,-2.4,5.6,9,89.8,37.8,33.3,41.7,46.1,25,34.3,36,53.3,30.2,41.7,,40.6,37.6,-19.67596419974146,761,2816,,,,,,,,,,,,,,,,,,,,,,,98.40000000000001,,,8,,,,,,,9965,
Ibaraki,2021,1,2372,26,2877000,,,97.267456,96.53825940423893,,-19,-10.5,-17.5,9.5,-61,-99.36373279999999,-33.66456032304063,-7,-10.80772184541328,-33.39453605077611,-9.637974134104988,5.9,-1.8,13,7.8,97.5,40.4,29.2,41.7,48.9,33.3,37.9,38.7,52.4,29.8,43.2,,41.2,40.3,-3.209602463661582,854,3152,,,,,,,,,,,,,,,,,,,,,,,99.3,,,11,,,,,,,10910,
Ibaraki,2021,2,937,47,2877000,,,98.442726,95.822686478476,,-15.75,-10.5,-14,9.75,-60,-94,-30.15067030698156,-11,-52.0005869213166,-45.10647724356568,-.2291296875163253,1.6,-4.8,2.7,-3,100.1,39.9,29.2,41.7,44.7,25,38.3,39.2,42.9,30.8,43.9,,41.7,39.7,49.92654712680709,994,3515,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,11765,
Ibaraki,2021,3,985,18,2877000,,,,,,-8.5,-5.5,-10.5,5,,-94,-27.40941483399925,-10,-.4551900011579492,-22.96235152153653,36.37709339772941,,,,,,41.9,33.3,41.7,47.3,44.4,42,38.9,52.1,27.4,45.8,,42.6,41.8,5.052505043330797,1212,4479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15671,
Ibaraki,2021,4,1403,6,2877000,,,,,,-7.875,,,5.4400001,,,-22.6,-11.111111,,,,,,,,,40.7,44.4,33.3,41.1,33.3,42.9,39.7,42.9,37.5,38.2,,38.9,40.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibaraki,2021,5,424,2,2877000,,,,,,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ishikawa,2020,1,0,0,1143000,102.05053,102.04228,100,100.0000001967733,100,,2.5,-4,-4.1666665,-10,-23.3343204,11.47894327504161,-.83333331,-1.913928287760907,7.752302363582253,2.533451162730449,-2.1,-.5,-2.1,14.3,89.8,,,,,,,,,,,,,,-20.16408273137178,270,1067,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,-40.2,,,-8.1
Ishikawa,2020,2,6,0,1143000,101.05578,100.63735,100.44007,99.63596699080702,97.610413,-1.75,4.5,3.5,1.8888888,-13,-60.4433344,1.890398178894048,-.11111111,-1.314571255759744,-.8835808501767166,-3.565518552511894,1.6,1.6,4,27.4,91.8,38.5,,,50,25,38.3,30.3,26.2,41.7,42.4,,45.1,36.3,-6.873879022306781,374,1444,,,,,,,,,,,,,,,,,,,,,.8,,,,,,,,,,-.1,,,-8.800000000000001
Ishikawa,2020,3,7,0,1143000,94.99752,94.478912,96.067665,95.06626390548809,90.109749,-7,0,3,2.5,-60,-95.06425779999999,-20.49591738404222,-1.5,-3.969683693228173,-17.27769522800154,-14.7727383127644,-5.9,-7.5,-11.8,22.8,88.09999999999999,31.2,,,43.2,16.7,27.5,24.7,26.2,23.3,43.6,,42.9,27.8,51.77177973063664,542,2058,,,,,,,,,,,,,,,,,,,,,.3,,,,,,,,,,-54.8,,,-14.9
Ishikawa,2020,4,238,8,1143000,92.904167,92.035324,90.304832,88.12110833484486,90.979767,-22.125,-1,-6.5,7.6999998,-97,-99.6775987,-67.80168847300658,-19.1,-60.32232943991236,-43.62246434695511,-27.94863620853382,-11.5,-14,1,33,86.5,24.7,,,38.1,16.7,21.2,19.1,18.3,12.5,35.4,,32.1,22.7,-39.32887417721494,222,716,,,,,,,,,,,,,,,,,,,,,-.5,,,,,,,,,,-14.6,,,-38.2
Ishikawa,2020,5,47,17,1143000,89.980179,89.080879,86.727364,84.49987191767774,88.851646,-21.5,-5.5,-4,4.25,-99,-99.6410947,-53.85592624322349,-33.25,-75.11493562041134,-44.75009385723853,-20.97608515205795,-10.3,-14.2,18.6,30.1,80.40000000000001,25.9,,,36.9,16.7,21.3,19.2,27.8,8.300000000000001,33.3,,33.9,23.4,14.52136465324385,205,507,,,,,,,,,,,,,,,,,,,,,-.4,,,,,,,,,,-46.3,,,-48.1
Ishikawa,2020,6,2,2,1143000,93.256851,94.086395,89.677567,90.79701587594732,92.295242,-9.375,-1,-6,3,-81,-100,-31.17052151599622,-34,-66.14864970637835,5.757145545630084,-39.31008741391302,4.1,-8.1,35.5,25,75.59999999999999,27.2,,,37.7,16.7,22.1,23.3,37.5,4.2,34.4,,35.2,25,23.94927949401873,325,1139,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,26.5,,,-24.4
Ishikawa,2020,7,21,0,1143000,94.657387,94.914856,90.685066,91.72888015437728,92.128799,-7.5,1.5,-.5,-.096774191,-25,-91.8307499,-15.97099334133741,-30.806452,-54.35990460156219,-3.918101322405112,-48.23313338113466,.3,-11.5,8.4,20.3,78,28.6,,33.3,38.5,16.7,23.8,19.9,27.8,20,41.7,,34,27.1,-20.36477184018167,348,1339,,,,,,,,,,,,,,,,,,,,,-.1,,,,,,,,,,-8.800000000000001,,,-15.7
Ishikawa,2020,8,305,6,1143000,95.530525,95.813095,90.525009,91.6224602050646,93.975174,-5.125,0,-3,.75,-47,-99.7030123,-37.96867346487902,-23.5,-55.65181685556081,-28.50628245062609,-37.47959692209588,-.3,-10.9,8.5,27.3,77,28.1,,33.3,40.7,16.7,22.7,19,35.4,13.9,42.2,,34,26.8,-3.177487844051839,268,1114,,,,,,,,,,,,,,,,,,,,,-.8,,,,,,,,,,12.1,,,-18.6
Ishikawa,2020,9,150,14,1143000,95.400757,96.408638,91.602051,94.10375309071254,92.647507,-6.5,-2,-2.5,-1.4814814,-10,-93.1188858,-17.36941271077423,-29.888889,-59.76372733619506,-21.44389269517767,-10.0317360799712,-6.5,-7.3,-31.9,10.8,76.90000000000001,30.1,,33.3,42.4,33.3,25.4,24.3,30.6,22.2,34.4,,34,29,-6.541737976040054,375,1502,,,,,,,,,,,,,,,,,,,,,-.8,,,,,,,,,,-7.2,,,-15.3
Ishikawa,2020,10,34,2,1143000,95.800262,97.526909,92.234512,95.73242049336842,93.142838,-1.5,-5,-8,2.6774194,67,-83.3774751,-1.641781049402282,-26.67742,-67.75009154774685,19.86863054227237,17.10001610679028,9,-8.199999999999999,40.4,15.9,76.40000000000001,30.7,,,42.4,33.3,26.1,22.5,35.7,20.8,37.8,,39.4,28.5,-14.17660476310212,330,1247,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,-15.6,,,28.3
Ishikawa,2020,11,43,1,1143000,96.821846,97.03894,95.550537,96.12661192582631,91.803627,2.5,0,1,2,95,-92.1587423,1.234491826966307,-16.75,-34.89873092377449,9.220620952303928,19.914913207765,1.6,-6.7,32.7,13.8,84.3,35.1,,33.3,42.4,27.8,30.7,31,35.7,30,44,,44.4,32.6,-33.93301850828627,401,1239,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,-23.7,,,2.8
Ishikawa,2020,12,218,1,1143000,97.025406,96.761406,95.586433,95.23113690255603,92.161629,-12.25,-3,-5.5,3.6129031,43,-64.3904675,-26.88314197238723,-20.161291,-9.590523680020256,-3.235725595249724,-10.89613954923111,2.6,-6.6,16.7,14.3,85.8,36.9,,33.3,47,27.8,31.4,32.7,42.6,25,42.2,,44.4,35,-41.42500534807773,281,1101,,,,,,,,,,,,,,,,,,,,,-.9,,,,,,,,,,14.2,,,2.3
Ishikawa,2021,1,391,7,1143000,,,95.712822,96.0586432990184,,-27,-1,-9.5,3.5,-81,-87.20758069999999,-44.69103832788687,-15.75,-11.4091147575578,-32.4983094510775,-13.88331912534665,-1.4,-8.1,7.3,12.7,88.40000000000001,34.1,,16.7,43.2,27.8,31.8,30.8,31.3,22.2,37.8,,40,33,-8.048891002572617,286,1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.8,,,-.3
Ishikawa,2021,2,389,4,1143000,,,98.005249,96.09740807928847,,-21,7.5,4.5,-.75,-81,-75,-40.50313743013324,-13,-46.33456218210792,-45.80097470697667,-3.780743180583187,-1,-10.2,8,-.2,93.2,35.7,,,45.5,25,33.3,29.5,37.5,26.7,38.5,,46.5,33,45.44329974500712,332,1407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ishikawa,2021,3,60,2,1143000,,,,,,-8.5,-1,2.5,-1,,-77,-34.01889318509003,-13.75,-2.40681836683145,-27.62984042929298,24.55326098462866,,,,,,38.6,,16.7,44.2,27.8,40.2,34.1,31.3,27.8,43.1,,47,36.7,-35.59365385794861,572,2435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ishikawa,2021,4,584,7,1143000,,,,,,-8.625,,,-1.88,,,-42.32,-13.333333,,,,,,,,,39.2,,33.3,42,33.3,40.4,33.3,37.5,26.7,47.4,,46,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ishikawa,2021,5,371,14,1143000,,,,,,-15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwate,2020,1,0,0,1241000,102.05053,102.04228,100,100.0000011104944,100,,-1,.5,5,-3,-81.12,10.87118283657054,-2.4166667,-2.102114015594871,4.202265655817295,23.79049180316429,.3,-.9,.5,4.2,107.4,,,,,,,,,,,,,,-16.42576330836035,441,1089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwate,2020,2,0,0,1241000,98.969269,100.07469,97.448181,99.63045610628247,96.513123,0,-1.5,0,4.7407408,-13,-71.8512898,3.695752347472628,-1.1851852,-5.940812415173332,-4.203284492554234,15.25276971066566,4.1,1.8,8.9,15.7,100.9,38.1,33.3,33.3,48.2,27.8,39.2,27.8,28.8,33.3,39.7,50,35.7,38.4,-43.24100676015503,466,1425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwate,2020,3,0,0,1241000,95.842354,96.484276,94.400558,95.67389473194315,93.432571,-2.75,0,-1,.5,-54,-98.5079688,-14.38609455918708,-3.5,-17.811877875667,-19.22512743102018,-7.056015347578069,-4.3,-7.3,-3.8,9.5,99.3,32.9,50,16.7,38.3,25,34.1,24.5,30.3,33.3,32.1,33.3,30,33.3,15.28006727425375,775,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwate,2020,4,0,0,1241000,92.809654,92.397064,89.697266,88.40190026703753,91.402924,-9.25,-3.5,1,10.666667,-94,-99.90506329999999,-54.2359541081541,-13.433333,-46.51111600466434,-46.78245602858245,-19.37294332173184,-4.8,-10.4,-1.1,10.5,99.09999999999999,28.5,16.7,33.3,39.3,33.3,29,25.4,17.9,22.2,23.8,16.7,30.2,28.2,-13.19012544603065,345,817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwate,2020,5,0,0,1241000,90.094566,91.253098,83.344421,85.1208649875684,92.457787,-9,-3.5,-1.5,3.75,-98,-99.64664310000001,-38.87873731976888,-27.5,-68.89998642968659,-47.18583799171702,-17.09558898524888,-3.9,-8.9,19.3,2.8,83.8,28.6,33.3,33.3,35.2,27.8,30.4,24.6,20.8,25,26.9,25,33.3,27.7,-32.81719703892045,308,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwate,2020,6,0,0,1241000,95.152847,95.622086,90.986778,91.3950246587069,94.685692,-.5,-5,-1.5,4.75,-84,-100,-21.40656578167227,-28.25,-56.15258779863733,-27.47642082034793,-31.52811700117451,1.4,-1.7,35.9,4.8,91.59999999999999,30.6,16.7,33.3,37.5,,30.4,29.4,14.8,22.2,32.1,33.3,30.2,30.7,21.2997780480342,492,1284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwate,2020,7,4,0,1241000,94.372826,95.155151,90.274612,92.33347831180497,91.989677,-.25,3,0,-.51612902,-61,-100,-11.17758767734431,-24,-56.40541993493039,-10.88004648424313,-43.5948234376667,1,-7.2,4.1,7.4,90.5,30.9,16.7,33.3,36.6,16.7,30.2,28.3,21.2,26.2,34.6,33.3,31.4,30.8,-26.3284684720856,475,1394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwate,2020,8,15,0,1241000,95.753387,96.59153,90.967819,93.14275196058983,93.962776,5.5,-2,-2.5,0,-55,-93.50574709999999,-33.95727660402942,-16,-68.12450524277781,-20.5143946543063,-33.31597280023104,-1.2,-7.9,.4,7.8,90.7,31.3,16.7,16.7,39.9,50,31.9,28.8,20.8,27.8,30,25,34.3,30.7,.8649647984807984,437,1074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwate,2020,9,4,0,1241000,97.220741,97.476494,93.933411,94.98865737949201,93.831116,6.125,-5,-3.5,-8.333333,12,-99.62894249999999,-12.56971915989441,-19.666666,-73.46758739993099,-.7199321784880147,.9570256783140864,-7.6,.1,-33.1,-2.6,96.5,34.4,25,16.7,40.6,41.7,34,30.3,23.8,30.6,36.1,33.3,36.3,34,-4.814680107877379,544,1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwate,2020,10,4,0,1241000,98.797714,98.581322,96.96637,96.70612381932374,94.211166,10.25,.5,-.5,5.6451612,75,-82.44503659999999,-7.697538829068047,-15.290322,-60.61453590826439,35.37457956591687,16.81116641947788,7.9,13.1,43.6,5.3,103.4,35,25,50,41.1,16.7,36.7,30.4,25,38.1,33.3,25,37.3,34.6,-35.74167809343896,600,1420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwate,2020,11,167,3,1241000,97.775032,98.297356,95.420029,96.58877032253623,93.778587,3.75,1.5,-1,-.25,136,-97.02424689999999,-20.07780715203618,-5.25,-26.10942048762164,14.62304030399554,11.0327984841053,-.2,1.5,35.1,13.4,99.40000000000001,35.3,,33.3,38.3,50,38.1,32.5,25,38.1,34.6,33.3,38.9,34.7,-7.122305426626582,597,1381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwate,2020,12,191,21,1241000,99.035164,97.849663,97.846725,95.7100264180945,93.790298,-5.75,2,2,-4.2903228,40,-88.12535939999999,-42.12415589964537,-11.806452,-16.29595115313456,-16.07328922738371,-22.24865314805381,-2.8,-2.1,17.4,9.9,107.7,36,33.3,33.3,40.6,50,39.4,33.3,27.8,40,29.8,25,37.5,35.8,-29.40431072198531,453,1207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwate,2021,1,111,3,1241000,,,97.930664,96.01236016915753,,-14,-3,-4,2.75,-63,-95.1466667,-41.5263696130218,-7.75,-23.1032345514632,-39.57694156365125,-18.12891563554041,.8,-2,10.4,5,110.6,32.9,33.3,33.3,37,,38,29.8,22.7,33.3,27.4,33.3,37.5,32,-6.225244500771794,487,1308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwate,2021,2,58,3,1241000,,,95.878609,95.66275022185614,,-13.25,-4.5,-3,1.25,-67,-87,-37.31632728860577,-6.5,-54.63172228328865,-42.52407349950933,-6.305660054517702,-.7,-4.3,17.2,-4.1,104,37.2,33.3,16.7,43.8,,41.7,32.2,28.3,30,33.3,25,40.6,36.6,44.51505127138509,568,1397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwate,2021,3,67,0,1241000,,,,,,-4.75,5.5,1,-1.75,,-98,-33.22901259796158,-4.25,-18.44532933075513,-24.49778007224925,27.27408258988987,,,,,,37.5,50,33.3,39.7,,41.3,35,29.6,33.3,36.1,33.3,41.7,36.8,-15.92796218849077,824,2188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwate,2021,4,291,1,1241000,,,,,,-.375,,,-.44,,,-38.48,-3.3333333,,,,,,,,,38.2,66.7,33.3,40.7,,45.5,31.6,33.3,40,30.8,33.3,44.8,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iwate,2021,5,179,4,1241000,,,,,,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,2020,1,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,2020,2,207,5,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,2020,3,1935,61,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,2020,4,11949,391,,,,,,,-23.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,2020,5,2432,441,,,,,,,-24.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,2020,6,1741,75,,,,,,,-13.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,2020,7,17377,39,,,,,,,-14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,2020,8,31935,287,,,,,,,-12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,2020,9,15025,275,,,,,,,-11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,2020,10,17523,195,,,,,,,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan,2020,11,47149,382,,,,,,,-8.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
