year,month,Aichi,Akita,Aomori,Chiba,Ehime,Fukui,Fukuoka,Fukushima,Gifu,Gunma,Hiroshima,Hokkaido,Hyogo,Ibaraki,Ishikawa,Iwate,Kagawa,Kagoshima,Kanagawa,Kochi,Kumamoto,Kyoto,Mie,Miyagi,Miyazaki,Nagano,Nagasaki,Nara,Niigata,Oita,Okayama,Okinawa,Osaka,Saga,Saitama,Shiga,Shimane,Shizuoka,Tochigi,Tokushima,Tokyo,Tottori,Toyama,Wakayama,Yamagata,Yamaguchi,Yamanashi,Japan
2020,1,102.0423,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.04228,102.042276183796
2020,2,100.6158,100.69481,100.76617,100.70428,100.019,102.12082,100.01839,101.23685,100.37803,101.4595,100.02428,101.36371,101.01283,101.34431,100.63735,100.07469,101.0035,100.60328,100.75772,100.73363,101.01271,100.27562,100.74172,100.23212,100.15311,100.80169,101.04615,100.46219,102.7178,99.423088,100.72047,101.33717,100.63753,101.27072,101.14552,99.998207,100.89085,100.49551,100.49994,101.56353,100.45339,100.52654,100.75352,100.13906,100.40189,100.66574,100.68031,100.690471835756
2020,3,94.9482,96.524422,97.803162,96.859726,97.921387,98.328789,97.829102,98.099052,95.413422,98.140442,97.407761,96.581688,96.975418,98.574242,94.478912,96.484276,98.813103,98.369865,96.888794,99.299957,95.90419,96.660431,94.802452,97.582573,96.828262,97.017784,97.730385,96.923866,98.229973,96.390427,97.056122,98.851013,97.722267,99.075928,97.735435,96.86174,96.835625,97.61438,97.766983,98.876778,97.063416,97.203186,94.836449,97.017784,97.069077,96.471039,97.527672,97.0631253542331
2020,4,87.1898,91.02626,94.154694,89.832436,92.325745,93.954269,87.258858,92.638977,90.80542,89.986526,90.398056,93.429321,89.568604,92.523178,92.035324,92.397064,93.198952,91.978714,89.741013,93.850761,89.536758,90.008949,88.257835,93.341347,94.266808,90.717033,95.711395,89.467339,91.364723,90.911842,92.02459,92.736992,91.720207,97.288933,90.879868,89.6763,92.218208,90.72966,89.406616,95.113365,89.231865,93.088821,90.772766,90.105148,93.89492,91.122566,91.660622,90.4370302198787
2020,5,82.514,88.788536,92.701012,86.828377,90.257767,93.613403,85.827438,90.560539,88.511787,86.021713,87.940704,92.141808,86.411499,88.712486,89.080879,91.253098,90.959778,92.096191,86.079185,91.942337,88.764114,87.912888,84.466576,91.053711,90.939034,86.817261,92.87352,87.542328,87.748756,89.120262,89.303818,91.625381,88.773331,94.580688,87.253654,86.51741,89.843628,85.817101,84.41156,93.776344,85.487091,89.819504,86.888596,87.228874,91.034149,88.22506,87.436844,87.2772246512057
2020,6,88.3522,93.225983,96.719864,93.869644,96.503815,98.240807,94.328575,94.67395,92.3909,91.626183,93.46833,96.927765,92.697899,93.842415,94.086395,95.622086,98.522964,97.356544,92.897133,99.294861,95.887871,94.735512,90.33754,95.120369,95.311775,92.564751,97.103882,94.49807,94.305367,95.181091,94.298248,97.161964,94.925301,99.552345,93.827148,92.313797,94.313347,91.858452,91.908562,100.45152,92.790405,96.147766,92.535744,94.27803,94.481316,93.925087,94.414368,93.5217049289859
2020,7,91.0144,93.392334,96.470116,93.972961,96.341988,99.930763,95.356155,94.951874,92.865372,93.282745,94.208855,97.004318,93.757462,94.984802,94.914856,95.155151,98.100815,95.957443,94.168999,98.69899,95.16172,95.07856,92.131989,94.460419,96.835083,93.37986,97.666916,95.294044,94.264191,95.855812,95.500847,97.66153,96.292801,99.986092,94.658386,92.74675,95.28701,94.49279,92.674675,100.55048,93.564377,95.651413,93.539055,94.235512,94.703354,94.317047,94.061554,94.4145750373079
2020,8,93.4495,94.119011,97.891006,95.356163,97.185448,102.24603,96.308899,96.306496,94.050171,94.82943,95.702148,97.776672,94.517532,96.66642,95.813095,96.59153,99.615067,98.815514,95.64283,99.664986,95.972839,96.190735,93.952522,96.58902,96.404442,94.964958,98.89473,96.442802,95.932915,95.852791,96.365761,97.483322,97.483376,101.76994,96.136185,94.448929,97.101944,95.501228,94.541634,101.70474,94.910324,96.977425,95.080147,95.36972,95.999825,95.615303,95.452492,95.7883920033392
2020,9,95.0834,95.667717,98.534615,97.138863,98.973976,102.04808,97.571114,97.872299,95.667305,96.609894,97.395119,99.309441,96.053352,98.089096,96.408638,97.476494,101.02322,99.853134,97.121155,101.41196,97.757965,98.005814,95.556084,97.614418,98.741783,96.494331,99.822411,98.210052,97.441193,98.386017,97.948669,97.536705,98.673187,102.06821,98.15078,96.01709,98.16021,96.83477,96.509857,102.87991,96.323723,98.6492,96.544739,96.872971,96.570107,97.467239,97.257561,97.2593520310214
2020,10,97.0997,96.721413,100.01344,98.114037,100.32388,103.49356,99.96833,98.917885,97.48378,99.070549,98.834251,100.55643,97.201385,100.23694,97.526909,98.581322,101.92623,101.33299,98.793427,102.68636,99.384766,98.942177,97.64814,98.378029,100.62132,98.608719,102.28462,99.226776,99.633591,99.830902,99.708206,99.37336,99.947678,103.35847,99.486115,97.566223,99.522873,98.967056,98.661705,104.01701,98.041588,99.295456,98.219246,97.92202,97.771019,98.430847,99.558784,98.8659028046711
2020,11,96.4483,96.755936,100.06622,98.35154,100.61927,104.11693,100.11745,99.568802,97.006439,98.899925,98.46302,100.29444,97.422829,100.57027,97.03894,98.297356,102.458,100.44683,98.554565,102.14786,99.476028,98.451965,97.263451,98.935783,98.480003,99.660355,101.43754,98.261604,99.587273,100.07567,99.453293,100.35933,99.786819,102.65903,100.11292,97.801079,99.068481,98.605713,99.265213,104.05849,98.983376,99.201828,97.850822,97.879601,98.077461,97.896721,100.30099,98.9861835303376
2020,12,95.8797,96.567947,99.73761,97.493294,100.50706,103.39152,99.754791,99.117691,96.671165,98.053062,98.214035,99.643547,96.731911,99.504616,96.761406,97.849663,102.41657,100.8653,98.160553,102.26652,98.832405,98.205238,96.726784,98.394516,99.637444,98.291786,100.78423,97.978996,99.411057,99.87439,99.404526,99.918617,99.639023,101.77719,98.979195,97.035896,99.30217,97.982132,98.155495,103.82499,97.860802,98.996056,97.545265,98.313423,98.059509,97.834877,98.971878,98.3717265765956
2021,1,94.3717,95.1756505026963,98.1070635629423,95.5227557937273,98.0806233545683,101.629862208172,96.5474669687873,97.5479597116589,95.2925707165869,95.8721684569976,96.4765203698068,98.2829823575729,95.1538512503959,98.349262315652,95.163205785172,96.6919550840197,100.234982271093,98.7686116392177,96.4479614450321,99.828940367582,96.6035944640478,95.9308645585047,94.784774148009,97.1511743447322,97.3491642815016,96.4505595450842,98.953635454565,96.5324313371219,97.1768546398978,97.3584770117828,97.7361601705752,97.7631245145863,97.8303353589418,100.989172600287,97.1951581752743,95.4343590031329,97.2771226912993,96.3455342414205,95.3572409679238,102.305183137714,95.8836932992746,96.8580891507975,94.8327522683601,96.5088920519672,96.6924067628454,96.0604616658224,97.2601041798604,96.520537932726
