prefecture,date,positive,death,mobility,gdp,population,gop,Elderly_cum_total,Elderly_cum_first,Elderly_cum_second,Medical_cum_total,Medical_cum_first,Medical_cum_second,Medical_ps_total,Medical_ps_first,Medical_ps_second,Elderly_ps_total,Elderly_ps_first,Elderly_ps_second,cum_third,ps_third,Variant_Rate,serious,ICU_NHK,all_bed,Delta_Variant_Rate,newpositive,I,R,D,severe,hospital,hotel,home,adjust,mild
Aichi,21937,1,0,,100.000005599493,7537000,102.2745,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,,,,,
Aichi,21944,1,0,,99.82499342086761,7537000,101.9878714285714,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,,,,,
Aichi,21951,0,0,,99.38746297430406,7537000,101.2713,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,,,,,
Aichi,21958,3,0,-7,99.38746297430406,7537000,101.2713,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,,,,,
Aichi,21965,12,0,-.75,99.38746297430406,7537000,101.2713,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,,,,,
Aichi,21972,15,0,-3.5,98.9149779711811,7537000,100.3515,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,,,,,
Aichi,21979,48,1,-7.75,96.0800679524433,7537000,94.83270000000002,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,,,,,
Aichi,21986,41,11,-4.5,96.0800679524433,7537000,94.83270000000002,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,,,,,
Aichi,21993,22,4,-1.75,96.0800679524433,7537000,94.83270000000002,,,,,,,,,,,,,,,,0,,,,,111,8,16,0,,,,,
Aichi,22000,24,3,-4,96.0800679524433,7537000,94.83270000000002,,,,,,,,,,,,,,,,0,,,,,106,42,19,0,,,,,
Aichi,22007,61,1,-5.5,87.08865916193463,7537000,90.8077,,,,,,,,,,,,,,,,0,,,,,159,48,20,0,,,,,
Aichi,22014,99,4,-8.75,83.49209564573117,7537000,89.19770000000001,,,,,,,,,,,,,,,,0,,,,,234,63,22,0,,,,,
Aichi,22021,82,1,-20.75,83.49209564573117,7537000,89.19770000000001,,,,,,,,,,,,,,,,0,,,,,310,66,25,0,,,,,
Aichi,22028,68,6,-27.5,83.49209564573117,7537000,89.19770000000001,,,,,,,,,,,,,,,,0,,,,,380,66,30,0,,,,,
Aichi,22035,15,3,-24.5,81.15415844369987,7537000,86.74018571428572,,,,,,,,,,,,,,,,0,,,,,383,75,34,0,,,,,
Aichi,22042,9,0,-28.25,78.03690884099144,7537000,83.4635,,,,,,,,,,,,,,,,0,,,,,107,350,34,0,,,,,
Aichi,22049,8,0,-21.25,78.03690884099144,7537000,83.4635,,,,,,,,,,,,,,,,2,4,28,,,63,404,34,2,,,,,
Aichi,22056,1,0,-17.75,78.03690884099144,7537000,83.4635,,,,,,,,,,,,,,,,0,0,28,,,26,442,34,0,,,,,
Aichi,22063,1,0,-14,78.03690884099144,7537000,83.4635,,,,,,,,,,,,,,,,0,0,28,,,13,456,34,0,,,,,
Aichi,22070,3,0,-11.5,85.71259494503079,7537000,88.11029999999998,,,,,,,,,,,,,,,,0,0,28,,,8,463,34,0,,,,,
Aichi,22077,5,0,-16.5,85.71259494503079,7537000,88.11029999999998,,,,,,,,,,,,,,,,0,0,28,,,10,467,34,0,,,,,
Aichi,22084,7,0,-8,85.71259494503079,7537000,88.11029999999998,,,,,,,,,,,,,,,,0,0,28,,,13,470,34,0,,,,,
Aichi,22091,0,0,-9.75,85.71259494503079,7537000,88.11029999999998,,,,,,,,,,,,,,,,0,0,28,,,6,477,34,0,,,,,
Aichi,22098,2,0,-11.75,88.46544648416059,7537000,91.20258571428569,,,,,,,,,,,,,,,,0,0,28,,,5,480,34,0,,,,,
Aichi,22105,6,0,-16,89.56658709981254,7537000,92.43949999999998,,,,,,,,,,,,,,,,0,0,28,,,8,483,34,0,,,,,
Aichi,22112,109,0,-15,89.56658709981254,7537000,92.43949999999998,,,,,,,,,,,,,,,,0,0,28,,,90,489,34,0,,,,,
Aichi,22119,460,1,-14.75,89.56658709981254,7537000,92.43949999999998,,,,,,,,,,,,,,,,2,0,28,,,469,506,35,2,,,,,
Aichi,22126,1073,0,-12,90.13752001362931,7537000,93.25635714285714,,,,,,,,,,,,,,,,4,2,28,,,1190,603,35,4,,,,,
Aichi,22133,1018,2,-13,91.56485229817129,7537000,95.2985,,,,,,,,,,,,,,,,8,7,60,,,1782,1185,37,8,,,,,
Aichi,22140,607,7,-17,91.56485229817129,7537000,95.2985,,,,,,,,,,,,,,,,13,14,60,,,1488,2125,43,13,,,,,
Aichi,22147,449,13,-15.75,91.56485229817129,7537000,95.2985,,,,,,,,,,,,,,,,26,15,70,,,1117,2966,54,26,,,,,
Aichi,22154,307,8,-14.25,91.56485229817129,7537000,95.2985,,,,,,,,,,,,,,,,18,21,70,,,749,3644,64,18,,,,,
Aichi,22161,206,9,-14.75,94.19106552846394,7537000,96.4559,,,,,,,,,,,,,,,,18,16,70,,,565,4033,73,18,,,,,
Aichi,22168,200,2,-14.5,94.62876773351272,7537000,96.64880000000001,,,,,,,,,,,,,,,,15,17,70,,,387,4402,75,15,,,,,
Aichi,22175,206,5,-7,94.62876773351272,7537000,96.64880000000001,,,,,,,,,,,,,,,,15,19,70,,,393,4598,79,15,,,,,
Aichi,22182,187,2,-10.25,94.62876773351272,7537000,96.64880000000001,,,,,,,,,,,,,,,,14,14,70,,,343,4815,83,14,,,,,
