prefecture,Prefecture_JP,year,month,positive,death,population,qe,FujiiKasaigdo,FujiiKasaigdo_raw,Fujiigdo,Fujiigdo_raw,FujiiKasaigdp,Fujiigdp,rdei,qFujiigdp,qFujiigdponly,qFujiiKasaigdponly,qrdei,qrdeionly,ITA,IIP,KasaiIIP,mobility,creditall,creditservice,pos,travel,eventticket,restaurantinfo,joboffer,eventinfo,travelinfo,movieinfo,departsuper,conveni,kaden,drugstore,Kasaiiip,hhexp,TDBall,TDBagri,TDBkinyuu,TDBkensetsu,TDBfudosan,TDBseizou,TDBoroshi,TDBkouri,TDBunyu,TDBservice,TDBother,TDBdaikigyo,TDBchusho,koujihi,newtruck,newcar,yuirail,airport,hotel,fish,elec,ship,kankou3,kankou2,kankou1,car2,car1,deposit,loan,machine2,machine1,ex2,ex1,wage2,wage1,employ,cpi,di,ci,fusai2,fusai1,tosan2,tosan1,ryoko,setsubi,infra2,infra1,newcar3,newcar2,newcar1
Aichi,愛知県,2020,11,3832,23,7537000,98.72213897744405,97.769333,94.483963,96.449043,93.471809,98.171516,96.14720936998033,90.79641,99.209656,98.30027,100.3699,93.688423,94.563248,96.849686,95.278168,99.806763,-8.125,-3.5,-7,1,81,-54.0781493,-28.66521289397895,-26.5,-23.80938643473491,19.6839025720596,9.2815257,-2.2,-5.7,23.5,7.9,103.3,278718,38.6,,,53.8,33.3,33.8,43.1,33.3,16.7,36.1,,39.6,38.5,-3.867471529558316,1829,7604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.8,,,
Aichi,愛知県,2020,12,6449,95,7537000,98.72213897744405,96.233627,92.999863,95.653656,92.700974,96.262062,95.66428579570706,89.737656,98.711349,97.806526,98.417694,92.595947,93.460571,96.286461,94.894585,96.231888,-12.5,-6.5,-12.5,4.774193548387097,-6,-75.9018452,-41.12532899476976,-29.58064516129032,-14.88757062390416,-3.732742926831789,-12.4284024967742,-2.3,-5.2,15.1,9.1,99.59999999999999,315007,37.4,,,54.8,33.3,33.8,36.4,33.3,8.300000000000001,33.3,,33.3,37.9,-16.06968020102781,1542,6431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.8,,,
Aichi,愛知県,2021,1,7475,186,7537000,98.20368912194874,94.973106,91.606537,94.756927,91.532104,95.425842,95.27698078402076,87.787231,98.633743,97.184776,97.336624,90.880112,92.255592,95.477196,95.029289,95.36232,-21,-9,-15.5,11.5,-74,-73.502144,-44.15380855599884,-12.5,-12.07493150258785,-39.70991042679133,-10.9978524,-5.6,-4.7,12.9,9.300000000000001,98.7,267760,35.6,,,47.6,33.3,30.6,39.6,41.7,16.7,33.3,,41.7,34.9,-12.83778894318515,1747,8593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.90000000000001,,,
Aichi,愛知県,2021,2,1840,118,7537000,98.20368912194876,94.733978,91.375885,94.956818,91.725197,93.567703,94.26633348997662,89.184067,97.587486,96.153893,95.441277,92.326164,93.723526,95.00676,93.350342,91.787437,-18.125,-12,-17,5.25,-76,-64,-46.42003038940106,-13.5,-51.81185169778733,-51.00367333704117,-5.48253765,-5,-7.5,1.4,-4.6,95,252451,38.8,,,50,33.3,35.8,42.6,36.7,27.8,40,,39.6,38.7,14.08752852781087,1846,8979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.5,,,
Aichi,愛知県,2021,3,1505,65,7537000,98.20368912194874,96.571472,93.148247,96.377808,93.097824,96.966545,96.86569848411744,89.329948,100.27843,98.805305,98.908173,92.477188,93.876831,97.091805,96.585983,96.811592,-11.5,-7.062,-10.304,3.5,-54,-69,-37.63636266360133,-19.25,-14.9836317819963,-27.56794042583327,26.323998945,5.7,.6,8.6,-1.5,100.2,309800,35.4,,,42.4,33.3,36.9,35,22.2,16.7,31.3,,39.6,34.9,-13.43664651987287,2376,11385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,,,
Aichi,愛知県,2021,4,6082,46,7537000,98.78289223800903,98.810631,95.740417,98.167595,94.944008,99.141151,97.54831889630036,92.339691,100.86033,99.858109,101.48866,95.474854,96.442795,96.884918,98.369019,101.93237,-9.75,-5.565,-9.699999999999999,6.790557000000002,-69,-65,-42.01799574124996,-19.7,,,,18.8,5.1,7.1,-3.4,105.5,301043,35.3,,,43.1,50,32.4,42.9,45.2,4.2,27.1,,40.5,34.9,-14.25385809964293,1620,6536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,愛知県,2021,5,13813,162,7537000,98.78289223800903,94.590187,91.651108,94.198021,91.10479,93.026306,91.93366706322105,90.275917,95.055046,94.110512,95.229019,93.341011,94.287315,93.793427,89.632942,92.077293,-15.25,-7.5,-14,6.692382500000001,-69,-82,-56.91458773985751,-17.56415499736827,,,,7.2,3.2,-1.4,1.1,95.3,281063,34.8,,,45.6,33.3,33.8,30.3,41.7,8.300000000000001,27.1,,38.1,34.5,-28.4,1397,6115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,愛知県,2021,6,3804,171,7537000,98.78289223800903,97.997124,94.952187,97.209389,94.017273,98.432129,96.56229597547814,91.472244,99.840828,98.84874,100.76285,94.57795,95.536804,95.758957,97.556114,101.73913,-12.625,,,3.922908888888889,,,-55.01186512593593,-18.16104147155584,,,,-3.3,1.4,-24.4,3.7,105.3,260285,39.3,,,46.7,44.4,40.5,34.7,44.4,16.7,30.3,,38.1,39.5,-1.687189008372471,1684,6366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,愛知県,2021,7,3000,46,7537000,98.10237860765517,99.308624,95.071625,97.995033,93.707115,98.014931,95.28591205972121,92.128319,99.646072,98.631889,101.45673,96.343994,97.34494,95.082626,95.537399,101.64251,-12.5,,,8,,,-52,,,,,2.3,4.9,-2.2,3.9,105.2,267710,39.2,,,50,41.7,37.6,36.1,38.9,16.7,38.1,,40.5,39,20.24806593053754,1625,6775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,愛知県,2021,8,29625,32,7537000,98.10237860765517,94.489365,90.457977,94.200714,90.078819,92.209496,91.45118104169917,88.706459,95.635872,94.662498,95.447441,92.765556,93.729324,93.409752,89.028214,90.72464,-17.75,,,,,,,,,,,-3.4,-.7,-17.7,1.7,93.90000000000001,266638,37.8,,,39.2,33.3,40.4,33.3,40.5,27.8,33.3,,42.9,37.4,-3.791081948000468,1204,5706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
