prefecture,year,month,positive,death,population,gdo,gdp,mobility,credit_all,credit_service,pos,travel,eventticket,restaurant_info,joboffer,event_info,travel_info,movie_info,departsuper,conveni,kaden,drugstore,TDBall,TDBagri,TDBkinyuu,TDBkensetsu,TDBfudosan,TDBseizou,TDBoroshi,TDBkouri,TDBunyu,TDBsurvice,TDBother,TDBdaikigyo,TDBchusho,koujihi,newtruck,newcar,yuirail,airport,hotel,fish,elec,ship,kankou3,kankou2,kankou1,car2,car1,deposit,loan,machine2,machine1,ex2,ex1,wage2,wage1,employ,cpi,di,ci,fusai2,fusai1,tosan2,tosan1,ryoko,setsubi,infra2,infra1,newcar3,newcar2,newcar1
Aichi,2021,3,1505,65,7537000,,,-11.5,-7,-10,3.5,,-69,-37.63636266,-19.25,-14.98363178,-27.56794043,26.32399895,,,,,39.5,,41.7,40,41.7,42,37.1,36.1,40.5,39.1,50,43.5,38.5,-13.43664652,2376,11385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,,,
Aichi,2021,4,6082,46,7537000,,,-9.75,,,7.6799998,,,-41.64,-18.333334,,,,,,,,40.4,,50,42.2,43.5,42.7,36.7,33.3,44.9,40.6,50,43.8,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aichi,2021,5,3275,24,7537000,,,-21.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita,2020,1,0,0,981000,102.05053,100,,-2.5,-1,4.5833335,-5,-57.260274,10.14204267,-4.75,-8.602894876,10.68540806,4.337961291,-3.1,-1.8,4.9,9.1,,,,,,,,,,,,,,-13.00705092,392,1041,,,,,,,,,,,,,,,,,,,,,,55.6,79.7,,,,,,,,,,,
Akita,2020,2,0,0,981000,101.31385,101.06219,1,1.5,-1,-1.5555556,-9,24.2105263,-0.437044643,-6.8518519,3.92815167,1.555487633,-0.531770795,2.1,1.2,7.4,20.4,35.7,33.3,50,37.8,38.9,36.9,34.1,28.6,58,34.7,16.7,39.7,34.9,28.29527689,514,1343,,,,,,,,,,,,,,,,,,,,,,66.7,84.5,,,,,,,,,,,
Akita,2020,3,6,0,981000,97.427765,97.146179,-3.25,-1,-1.5,-2.25,-59,-99.6328029,-17.15135204,-3.5,3.011350343,-17.00451743,-10.34581278,-3.1,-7.3,-0.8,19.5,31.5,37.5,50,34.3,30,28.9,30.2,27.8,,35,16.7,32.1,31.5,-30.23260798,775,2069,,,,,,,,,,,,,,,,,,,,,,66.7,75.3,,,,,,,,,,,
Akita,2020,4,10,0,981000,91.648575,89.92453,-7.875,-1,2.5,2.7333333,-96,-100,-57.85273769,-8.1333332,-60.61583238,-45.05929793,-21.88855142,-3.9,-12,4.3,15.9,26.3,16.7,33.3,31.1,23.3,27,24.4,27.1,,25.6,16.7,21.4,27.1,-26.17328242,432,734,,,,,,,,,,,,,,,,,,,,,,44.4,66,,,,,,,,,,,
Akita,2020,5,0,0,981000,89.210632,86.701782,1.25,-1,-0.5,1.75,-98,-99.765808,-42.06804801,-18.5,-72.77119058,-44.87984545,-17.02917735,2.3,-10.1,24.3,7.6,27.3,22.2,50,34.4,19.4,29.4,23.6,30.6,66.7,22.6,16.7,29.2,27,-74.68988431,344,513,,,,,,,,,,,,,,,,,,,,,,22.2,53.7,,,,,,,,,,,
Akita,2020,6,0,0,981000,93.579834,93.195572,9.875,-1.5,3.5,2.75,-84,-100,-20.26968774,-17.75,-56.82897425,29.23091527,-36.08230484,3.2,-3.1,50.6,12.8,30.2,22.2,50,35.6,33.3,29.6,25.4,33.3,33.3,29.8,33.3,30.8,30.1,14.16142104,482,1219,,,,,,,,,,,,,,,,,,,,,,22.2,58.8,,,,,,,,,,,
Akita,2020,7,2,0,981000,93.337418,91.950729,9.25,6,0.5,1.032258,-53,-100,-2.859159148,-16.483871,-61.72199258,23.36200175,-44.96815871,0.1,-7.5,10.6,11.6,30.3,22.2,50,34.5,36.7,25.8,26.5,41.7,27.8,34.7,16.7,29.2,30.5,-27.58099739,526,1298,,,,,,,,,,,,,,,,,,,,,,0,58.6,,,,,,,,,,,
Akita,2020,8,31,0,981000,93.310387,91.422577,15.5,1.5,-2.5,-2.75,-57,-99.6632997,-27.52482417,-2.75,-70.59252663,-7.461180233,-35.84652637,-1.9,-2.8,4.5,8.9,31.1,22.2,50,41.7,30,30,25,33.3,25,30.3,16.7,28.6,31.6,25.71121419,427,1032,,,,,,,,,,,,,,,,,,,,,,11.1,55.6,,,,,,,,,,,
Akita,2020,9,4,0,981000,95.3013,94.266685,15.875,-1.5,2.5,-4.5925927,0,-100,-1.617545508,-8.9629631,-65.34602068,-2.404581055,-5.332005645,-8,-2.3,-33.6,1.6,32.4,25,50,47.1,30,24.2,32.6,35.7,50,25,16.7,34.5,32.1,84.93645319,593,1504,,,,,,,,,,,,,,,,,,,,,,33.3,58.2,,,,,,,,,,,
Akita,2020,10,10,0,981000,95.472336,94.035774,19.5,3,1.5,11.16129,29,-96.3695038,0.675333287,-8.5161295,-60.39367822,42.80323941,22.77086255,7.2,-3.1,41.7,6.9,36.4,22.2,50,50.9,36.7,28.6,33.3,36.1,66.7,34.6,16.7,38.9,35.8,0.669058514,496,1369,,,,,,,,,,,,,,,,,,,,,,55.6,60.7,,,,,,,,,,,
Akita,2020,11,27,1,981000,96.214455,95.183861,9.875,2.5,1,2.5,148,-93.8256659,-0.268934107,3.5,-20.85436699,32.5255858,23.74945547,-0.1,-1.7,29.8,14.3,39.1,27.8,50,48,33.3,34.8,35.8,47.6,83.3,37.5,16.7,38.1,39.3,8.141804633,543,1191,,,,,,,,,,,,,,,,,,,,,,44.4,62,,,,,,,,,,,
Akita,2020,12,50,0,981000,96.594307,95.68914,-3,-5.5,-4.5,5.483871,132,-86.4238411,-25.84913827,-0.74193549,-13.90844216,5.772391092,-12.94430485,0.1,-1.7,14,10.4,34.2,33.3,50,45.6,26.7,31.8,30.8,27.8,44.4,30.8,16.7,41.1,32.9,1.407319953,414,963,,,,,,,,,,,,,,,,,,,,,,55.6,63,,,,,,,,,,,
Akita,2021,1,121,0,981000,,92.960571,-14.75,-3.5,-1.5,4.25,-24,-99.0410959,-37.72315552,3,-24.4559403,-17.28732161,-22.31693716,-1.4,-0.8,1.3,7.8,36.8,38.9,33.3,40.7,36.7,35.7,35.6,41.7,38.9,33.3,16.7,37.8,36.6,-3.363112319,416,1177,,,,,,,,,,,,,,,,,,,,,,66.7,58.9,,,,,,,,,,,
Akita,2021,2,8,5,981000,,95.570786,-12.25,0.5,-3,1,-30,-100,-25.48249072,3.5,-48.81661928,-10.27736756,-6.71961806,-2.3,-4,16.5,-2.3,39.2,44.4,33.3,44.4,33.3,39.2,36,36.7,83.3,36.1,33.3,41.7,38.7,-4.559099521,423,1197,,,,,,,,,,,,,,,,,,,,,,66.7,62.1,,,,,,,,,,,
Akita,2021,3,14,0,981000,,,-3.25,-1,-3.5,1.5,,-97.8580171,-27.59029494,6.5,-2.121989151,8.503158989,37.79498309,,,,,40.8,50,,43.8,40,43,37.5,33.3,44.4,36.4,66.7,43.1,40.4,54.42952917,896,2196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita,2021,4,172,3,981000,,,8.25,,,3.4000001,,,-27.52,3.6666667,,,,,,,,42,41.7,,42.2,40,45.2,40.6,37.5,83.3,38.9,16.7,48.7,40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akita,2021,5,141,0,981000,,,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aomori,2020,1,0,0,1263000,102.05053,100,,3.5,0.5,5.6666665,0,565.5913978,3.928956958,-9.666667,-6.845641358,3.32524698,10.52662004,-2.2,-1,4.1,5.1,,,,,,,,,,,,,,-39.62004476,384,1135,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.8,-64.6,,81.2,,,
Aomori,2020,2,0,0,1263000,98.890106,96.066811,-0.5,3,-0.5,1.2962962,-24,-80.1104972,0.976047765,-6.4814816,-7.15066423,1.116019326,-0.05001565,2.3,3.1,9.1,20,38,,,47.9,33.3,35.2,36.3,31.7,44.4,32.1,25,48.8,36,-42.55043213,498,1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,-37.9,,2.5,,,
Aomori,2020,3,8,0,1263000,97.560394,95.715446,-3,-0.5,1,-1.75,-60,-99.1950758,-17.55216246,-6.25,0.520274561,-20.23491842,-8.589404724,-5.3,-4.7,-5.1,19.6,30.8,,,38,33.3,29.6,30,27.1,33.3,24.4,16.7,33.3,30.4,-40.70542349,705,2090,,,,,,,,,,,,,,,,,,,,,,,,,,,,-60,-61.6,,-6.3,,,
Aomori,2020,4,18,0,1263000,92.735825,87.083992,-13.625,-2,-1,3.2666667,-96,-100,-63.94861076,-12.333333,-57.39324324,-45.37834206,-18.83666184,-8.5,-10.8,2,13.3,29.1,,,38.3,16.7,27.5,27.3,33.3,25,13.6,16.7,33.3,28.5,-32.64732233,408,836,,,,,,,,,,,,,,,,,,,,,,,,,,,,-95.4,-38.9,,8.7,,,
