dateEN,beta_tilde
23-Jan-2020,Inf
30-Jan-2020,0.50000007234844
06-Feb-2020,0
13-Feb-2020,20.9454590915678
20-Feb-2020,0.612810261489084
27-Feb-2020,0.595264633454445
05-Mar-2020,1.56253345130056
12-Mar-2020,0.821059646137714
19-Mar-2020,1.28291917865644
26-Mar-2020,4.72075257240256
02-Apr-2020,1.89847105232157
09-Apr-2020,1.5091667784175
16-Apr-2020,0.758471341288862
23-Apr-2020,0.539598334502541
30-Apr-2020,0.45386478010249
07-May-2020,0.24202342599596
14-May-2020,0.14028943369688
21-May-2020,0.131688671234159
28-May-2020,0.50848002480619
04-Jun-2020,1.15014610973065
11-Jun-2020,0.829047879817917
18-Jun-2020,1.00480693266339
25-Jun-2020,1.00173341322782
02-Jul-2020,1.39382658488611
09-Jul-2020,1.37258344482909
16-Jul-2020,0.979495280301733
23-Jul-2020,0.853783959423841
30-Jul-2020,0.83602973776126
06-Aug-2020,0.719694973399423
13-Aug-2020,0.485690125631778
20-Aug-2020,0.473122685705573
27-Aug-2020,0.456405194198621
03-Sep-2020,0.400332202527545
10-Sep-2020,0.574145242396746
17-Sep-2020,0.57176025357501
24-Sep-2020,0.504109250412376
01-Oct-2020,0.645831815480452
08-Oct-2020,0.612409322568749
15-Oct-2020,0.612904883986238
22-Oct-2020,0.50609846689592
29-Oct-2020,0.618572085014204
05-Nov-2020,0.715848611118792
12-Nov-2020,0.961129083721424
19-Nov-2020,0.965785952120737
26-Nov-2020,0.6993349200881
03-Dec-2020,0.660969830910518
10-Dec-2020,0.705847009170999
17-Dec-2020,0.757253108690636
24-Dec-2020,0.796154559173755
31-Dec-2020,0.783293248432703
07-Jan-2021,1.35997773694862
14-Jan-2021,0.656116849544551
21-Jan-2021,0.484454693481177
28-Jan-2021,0.38034234878754
04-Feb-2021,0.324425855800912
11-Feb-2021,0.296259005878502
18-Feb-2021,0.381184606715696
25-Feb-2021,0.400231739889295
04-Mar-2021,0.463563091248515
11-Mar-2021,0.596118848228008
18-Mar-2021,0.661648111843479
25-Mar-2021,0.730932205264318
01-Apr-2021,0.728390915986071
08-Apr-2021,0.77872886523001
15-Apr-2021,0.827272889921777
22-Apr-2021,0.837878617962197
29-Apr-2021,0.775963287258515
06-May-2021,0.631776504098827
13-May-2021,0.618008915888965
20-May-2021,0.490642161497508
27-May-2021,0.476318408527063
03-Jun-2021,0.418313552940434
10-Jun-2021,0.468989362360845
17-Jun-2021,0.562580777647408
24-Jun-2021,0.753919632160436
01-Jul-2021,0.850554406215261
08-Jul-2021,0.932878224041262
15-Jul-2021,1.13779784737725
22-Jul-2021,1.16215402482563
29-Jul-2021,1.90383644679669
05-Aug-2021,1.36428839474776
12-Aug-2021,1.047310194755
19-Aug-2021,1.05059013377018
26-Aug-2021,0.783992534158258
02-Sep-2021,0.598535594027153
09-Sep-2021,0.434461817059819
16-Sep-2021,0.400983409954588
23-Sep-2021,0.292277196835668
30-Sep-2021,0.304545892639097
07-Oct-2021,0.312028727650397
