prefecture,date,year,month,day,week,newpositive,I,R,D,severe,hospital,stringdate,陽性者数累計,軽症中等症,hotel,home,adjustment
Tokyo,28feb2020,2020,2,28,6,0,21,15,1,5,21,2/28/2020,37,16,0,0,0
Tokyo,29feb2020,2020,2,29,6,0,21,15,1,5,21,2/29/2020,37,16,0,0,0
Tokyo,01mar2020,2020,3,1,6,2,23,15,1,5,23,3/1/2020,39,18,0,0,0
Tokyo,02mar2020,2020,3,2,7,0,23,15,1,5,23,3/2/2020,39,18,0,0,0
Tokyo,03mar2020,2020,3,3,7,1,22,17,1,5,22,3/3/2020,40,17,0,0,0
Tokyo,04mar2020,2020,3,4,7,4,26,17,1,6,26,3/4/2020,44,20,0,0,0
Tokyo,05mar2020,2020,3,5,7,8,32,19,1,7,32,3/5/2020,52,25,0,0,0
Tokyo,06mar2020,2020,3,6,7,6,37,20,1,8,37,3/6/2020,58,29,0,0,0
Tokyo,07mar2020,2020,3,7,7,6,43,20,1,8,43,3/7/2020,64,35,0,0,0
Tokyo,08mar2020,2020,3,8,7,0,43,20,1,8,43,3/8/2020,64,35,0,0,0
Tokyo,09mar2020,2020,3,9,8,0,40,22,2,7,40,3/9/2020,64,33,0,0,0
Tokyo,10mar2020,2020,3,10,8,3,43,22,2,8,43,3/10/2020,67,35,0,0,0
Tokyo,11mar2020,2020,3,11,8,6,49,22,2,7,49,3/11/2020,73,42,0,0,0
Tokyo,12mar2020,2020,3,12,8,2,51,22,2,7,51,3/12/2020,75,44,0,0,0
Tokyo,13mar2020,2020,3,13,8,2,53,22,2,8,53,3/13/2020,77,45,0,0,0
Tokyo,14mar2020,2020,3,14,8,10,63,22,2,8,63,3/14/2020,87,55,0,0,0
Tokyo,15mar2020,2020,3,15,8,3,66,22,2,8,66,3/15/2020,90,58,0,0,0
Tokyo,16mar2020,2020,3,16,9,0,66,22,2,8,66,3/16/2020,90,58,0,0,0
Tokyo,17mar2020,2020,3,17,9,12,70,30,2,8,70,3/17/2020,102,62,0,0,0
Tokyo,18mar2020,2020,3,18,9,9,79,30,2,8,79,3/18/2020,111,71,0,0,0
Tokyo,19mar2020,2020,3,19,9,7,85,31,2,9,85,3/19/2020,118,76,0,0,0
Tokyo,20mar2020,2020,3,20,9,11,95,31,3,9,95,3/20/2020,129,86,0,0,0
Tokyo,21mar2020,2020,3,21,9,7,101,31,4,9,101,3/21/2020,136,92,0,0,0
Tokyo,22mar2020,2020,3,22,9,2,103,31,4,9,103,3/22/2020,138,94,0,0,0
Tokyo,23mar2020,2020,3,23,10,16,119,31,4,11,119,3/23/2020,154,108,0,0,0
Tokyo,24mar2020,2020,3,24,10,17,135,31,5,11,135,3/24/2020,171,124,0,0,0
Tokyo,25mar2020,2020,3,25,10,41,176,31,5,12,176,3/25/2020,212,164,0,0,0
Tokyo,26mar2020,2020,3,26,10,47,223,31,5,15,223,3/26/2020,259,208,0,0,0
Tokyo,27mar2020,2020,3,27,10,40,254,39,6,15,254,3/27/2020,299,239,0,0,0
Tokyo,28mar2020,2020,3,28,10,63,315,40,7,14,315,3/28/2020,362,301,0,0,0
Tokyo,29mar2020,2020,3,29,10,68,382,40,8,15,382,3/29/2020,430,367,0,0,0
Tokyo,30mar2020,2020,3,30,11,13,394,40,9,16,394,3/30/2020,443,378,0,0,0
Tokyo,31mar2020,2020,3,31,11,78,465,40,16,16,465,3/31/2020,521,449,0,0,0
Tokyo,01apr2020,2020,4,1,11,66,531,40,16,17,531,4/1/2020,587,514,0,0,0
Tokyo,02apr2020,2020,4,2,11,97,628,40,16,18,628,4/2/2020,684,610,0,0,0
Tokyo,03apr2020,2020,4,3,11,89,704,51,18,22,704,4/3/2020,773,682,0,0,0
Tokyo,04apr2020,2020,4,4,11,116,815,51,23,22,815,4/4/2020,889,793,0,0,0
Tokyo,05apr2020,2020,4,5,11,144,951,52,30,24,951,4/5/2020,1033,927,0,0,0
Tokyo,06apr2020,2020,4,6,12,83,1034,52,30,27,1034,4/6/2020,1116,1007,0,0,0
Tokyo,07apr2020,2020,4,7,12,79,1112,52,31,27,1112,4/7/2020,1195,1085,0,0,0
Tokyo,08apr2020,2020,4,8,12,143,1251,52,35,29,1251,4/8/2020,1338,1222,0,0,0
Tokyo,09apr2020,2020,4,9,12,178,1428,52,36,30,1428,4/9/2020,1516,1398,0,0,0
Tokyo,10apr2020,2020,4,10,12,187,1611,52,40,31,1611,4/10/2020,1703,1580,0,0,0
Tokyo,11apr2020,2020,4,11,12,199,1810,52,40,34,1810,4/11/2020,1902,1776,0,0,0
Tokyo,12apr2020,2020,4,12,12,166,1974,52,42,37,1974,4/12/2020,2068,1937,0,0,0
Tokyo,13apr2020,2020,4,13,13,90,2064,52,42,40,2064,4/13/2020,2158,2024,0,0,0
Tokyo,14apr2020,2020,4,14,13,160,2219,52,47,40,2219,4/14/2020,2318,2179,0,0,0
Tokyo,15apr2020,2020,4,15,13,127,2340,52,53,42,2340,4/15/2020,2445,2298,0,0,0
Tokyo,16apr2020,2020,4,16,13,150,2487,52,56,50,2487,4/16/2020,2595,2437,0,0,0
Tokyo,17apr2020,2020,4,17,13,199,2679,52,63,54,2679,4/17/2020,2794,2625,0,0,0
Tokyo,18apr2020,2020,4,18,13,181,2690,216,69,55,2690,4/18/2020,2975,2635,0,0,0
Tokyo,19apr2020,2020,4,19,13,107,2711,297,74,57,2711,4/19/2020,3082,2654,0,0,0
Tokyo,20apr2020,2020,4,20,14,102,2507,600,77,60,2507,4/20/2020,3184,2447,0,0,0
Tokyo,21apr2020,2020,4,21,14,123,2601,625,81,61,2601,4/21/2020,3307,2540,0,0,0
Tokyo,22apr2020,2020,4,22,14,132,2461,897,81,62,2461,4/22/2020,3439,2399,0,0,0
