prefecture,year,month,positive,death,population,gdo,gdp,mobility,credit_all,credit_service,pos,travel,eventticket,restaurant_info,joboffer,event_info,travel_info,movie_info
Chiba,2021,1,11238,132,6255000,,95.01479561408691,-23.5,-9,-16.5,1.75,-85,-95.9511471,-42.61992549766821,-8.25,-8.493747201705299,-28.42703176404332,-8.301434022240414
Chiba,2021,2,4077,203,6255000,,,-19.375,,,-4,,,-35.76318633959912,-12.25,-45.52889571122602,-40.11593793744236,-.5601309342994192
Chiba,2021,3,2246,87,6255000,,,-17.25,,,-5,,,,,-12.7802176192973,-23.3944014398806,4.66635059855399
Ehime,2020,1,0,0,1352000,101.65711,101.0347525298661,,,,,,,,,,,
Ehime,2020,2,0,0,1352000,99.648125,100.7678710266582,1.25,,,,,,,,,,
Ehime,2020,3,9,0,1352000,97.431831,96.74961898299442,-2,,,,,,,,,,
Ehime,2020,4,38,3,1352000,91.963402,89.33104307141868,-12.5,,,,,,,,,,
Ehime,2020,5,35,1,1352000,89.78476,85.58694962136663,-14.75,,,,,,,,,,
Ehime,2020,6,0,0,1352000,96.231483,92.23052280340973,-7.875,,,,,,,,,,
Ehime,2020,7,7,1,1352000,95.882393,93.17139296516217,-6.5,,,,,,,,,,
Ehime,2020,8,25,1,1352000,96.793808,93.8088595034495,-5,,,,,,,,,,
Ehime,2020,9,0,0,1352000,98.681145,96.16392120712059,-7.75,,,,,,,,,,
Ehime,2020,10,2,0,1352000,100.08155,98.15591783096218,-2.75,,,,,,,,,,
Ehime,2020,11,198,0,1352000,100.23729,97.65397894750502,-4.375,,,,,,,,,,
Ehime,2020,12,151,7,1352000,99.950005,96.56808141927,-10.25,,,,,,,,,,
Ehime,2021,1,528,5,1352000,,96.74318024018017,-20.75,,,,,,,,,,
Ehime,2021,2,70,5,1352000,,,-15.625,,,,,,,,,,
Ehime,2021,3,21,1,1352000,,,-9.875,,,,,,,,,,
Fukui,2020,1,0,0,774000,101.10661,100.8605912125317,,,,,,,,,,,
Fukui,2020,2,0,0,774000,101.16895,101.2469955959001,2.5,,,,,,,,,,
Fukui,2020,3,20,0,774000,97.303055,97.27209889081452,-1.5,,,,,,,,,,
Fukui,2020,4,102,8,774000,93.116341,90.50062476915444,-16.5,,,,,,,,,,
Fukui,2020,5,0,0,774000,92.601768,86.41705573771374,-12.25,,,,,,,,,,
Fukui,2020,6,0,0,774000,97.428131,92.65312401821167,-1,,,,,,,,,,
Fukui,2020,7,17,0,774000,98.889435,93.15899261181042,-1.75,,,,,,,,,,
Fukui,2020,8,89,0,774000,101.29728,94.57412149157196,9.75,,,,,,,,,,
Fukui,2020,9,16,3,774000,101.22095,96.91672938508709,5.625,,,,,,,,,,
Fukui,2020,10,13,0,774000,102.61946,97.89311700444021,9.25,,,,,,,,,,
Fukui,2020,11,59,0,774000,103.13096,97.51504897863528,11.375,,,,,,,,,,
Fukui,2020,12,39,1,774000,102.30254,97.17407330563526,-6.25,,,,,,,,,,
Fukui,2021,1,159,7,774000,,97.8698996574102,-22,,,,,,,,,,
Fukui,2021,2,31,6,774000,,,-12.125,,,,,,,,,,
Fukui,2021,3,8,0,774000,,,-4.5,,,,,,,,,,
Fukuoka,2020,1,0,0,5107000,101.89262,100.8827240055771,,,,,,,,,,,
Fukuoka,2020,2,2,0,5107000,99.828796,100.3008608755952,-2.5,,,,,,,,,,
Fukuoka,2020,3,44,0,5107000,97.561981,96.36562811294421,-5.25,,,,,,,,,,
Fukuoka,2020,4,595,20,5107000,87.107544,88.35459820958253,-21.375,,,,,,,,,,
Fukuoka,2020,5,117,8,5107000,85.464355,84.84382771617946,-22,,,,,,,,,,
Fukuoka,2020,6,92,5,5107000,94.227165,92.42491829588103,-13.375,,,,,,,,,,
Fukuoka,2020,7,1075,1,5107000,95.08268,93.24029173740986,-13.25,,,,,,,,,,
Fukuoka,2020,8,2670,28,5107000,96.087532,94.14481246770052,-13.5,,,,,,,,,,
